类别,编号,资源Key,中文名,英文名,难度,LV,建议尺寸,主题描述
狩猎,8,hide_7,巨蝎甲壳,Giant Scorpion Chitin,困难,60,32x32,汽车大小的巨蝎的硬质甲壳
狩猎,9,hide_8,死亡爪皮,Deathclaw Hide,极难,80,32x32,废土最恐怖掠食者死亡爪的坚皮
狩猎,10,hide_9,巨兽厚皮,Behemoth Hide,噩梦,99,32x32,三层楼高的变异巨兽的外皮

制作,1,item_0,破布条,Rag Scraps,极简单,1,32x32,废墟中随手可撕的破衣服布料
制作,2,item_1,旧绳索,Old Rope,简单,4,32x32,废弃工地捡到的尼龙绳和钢丝绳
制作,3,item_2,皮革碎片,Leather Scraps,简单,7,32x32,剥下来的碎皮块,需要几块拼接
制作,4,item_3,铁钉,Iron Nails,中等,10,32x32,从倒塌建筑中撬出来的生锈铁钉
制作,5,item_4,弹簧,Springs,中等,15,32x32,废弃车辆和家具中拆出的弹簧
制作,6,item_5,齿轮,Gears,较难,25,32x32,报废机器中拆解出的完整齿轮
制作,7,item_6,电路板,Circuit Boards,困难,40,32x32,还能使用的战前电子设备电路板
制作,8,item_7,精密零件,Precision Parts,困难,60,32x32,需要从高级设备中拆解的小零件
制作,9,item_8,军用元件,Military Components,极难,80,32x32,军用设施中寻获的加密电子元件
制作,10,item_9,战前科技核心,Pre-War Tech Core,噩梦,99,32x32,保存完好的战前科技核心处理器

敏捷,1,agility_0,基础跑酷,Basic Parkour,极简单,1,32x32,在废墟碎石中练习基础跳跃
敏捷,2,agility_1,铁丝网穿越,Barbed Wire Crawl,简单,4,32x32,匍匐穿越锈蚀的铁丝网障碍
敏捷,3,agility_2,坍塌楼攀爬,Ruin Climb,简单,7,32x32,攀爬随时可能倒塌的危楼墙壁
敏捷,4,agility_3,废墟障碍赛,Rubble Obstacle,中等,10,32x32,在倒塌建筑的乱石堆中高速穿行
敏捷,5,agility_4,下水道匍匐,Sewer Crawl,中等,15,32x32,在狭窄的废弃下水管道中匍匐前进
敏捷,6,agility_5,断桥跳跃,Bridge Leap,较难,25,32x32,跳跃横跨断裂的高架桥裂缝
敏捷,7,agility_6,高空索降,Zip Descent,困难,40,32x32,从废弃摩天楼顶沿绳索高速下降
敏捷,8,agility_7,燃烧障碍跑,Fire Run,困难,60,32x32,穿越着火的炼油厂障碍跑道
敏捷,9,agility_8,辐射区冲刺,Rad Zone Sprint,极难,80,32x32,在高辐射区域极限冲刺,分秒必争
敏捷,10,agility_9,垂直墙攀爬,Wall Ascent,噩梦,99,32x32,徒手攀爬光滑的防辐射高墙

探索,T1-Lv1,exploration_0,废弃加油站,Abandoned Gas Station,安全区,1,32x32,郊区废弃的加油站,偶尔还有残留燃料
探索,T1-Lv4,exploration_1,废弃超市,Abandoned Supermarket,安全区,4,32x32,货架倒塌的战前超市,运气好能找到罐头
探索,T1-Lv7,exploration_2,废墟小镇,Ruined Town,安全区,7,32x32,核爆冲击波夷平的小镇废墟
探索,T1-Lv10,exploration_3,郊外农田,Outskirts Farm,安全区,10,32x32,荒废的农田,变异昆虫在此筑巢
探索,T1-Lv15,exploration_4,断裂立交桥,Broken Overpass,安全区,15,32x32,被地震撕裂的立交桥,桥下可能有物资
探索,T2-Lv20,exploration_5,枯树林,Deadwood Forest,危险区,20,32x32,核冬天后全部枯死的大片森林
探索,T2-Lv24,exploration_6,辐射沼泽,Radiation Swamp,危险区,24,32x32,绿色荧光覆盖的沼泽,变异生物潜伏
探索,T2-Lv28,exploration_7,废弃矿洞,Abandoned Mine,危险区,28,32x32,战前铀矿,隧道深处弥漫着辐射瓦斯
探索,T2-Lv32,exploration_8,地下停车场,Underground Garage,危险区,32,32x32,倒塌商场的地下停车场,漆黑一片
探索,T2-Lv36,exploration_9,废弃医院,Abandoned Hospital,危险区,36,32x32,废弃的圣玛丽医院,医疗物资仍散落各处
探索,T3-Lv40,exploration_10,军事检查站,Military Checkpoint,高危区,40,32x32,废弃的军事检查站,可能有未引爆的地雷
探索,T3-Lv45,exploration_11,化工厂废墟,Chemical Plant,高危区,45,32x32,有毒化学物质泄漏的工厂,需要防护装备
探索,T3-Lv50,exploration_12,核电站外围,Power Plant Perimeter,高危区,50,32x32,失控核电站的外围,辐射剂量已超安全值百倍
探索,T3-Lv55,exploration_13,淹没地铁站,Flooded Station,高危区,55,32x32,被地下水淹没的地铁枢纽,变异鱼在车厢中游弋
探索,T3-Lv60,exploration_14,酸雨平原,Acid Rain Plain,高危区,60,32x32,常年飘洒腐蚀性酸雨的不毛之地
探索,T4-Lv65,exploration_15,沙暴废土,Sandstorm Waste,极危区,65,32x32,能见度不到五米的巨型沙暴肆虐的沙漠废土
探索,T4-Lv70,exploration_16,雪地废墟,Snow Ruins,极危区,70,32x32,核冬天永冻的雪原,废弃军事设施半埋冰下
探索,T4-Lv75,exploration_17,火山灰地带,Ash Wastes,极危区,75,32x32,被火山灰覆盖的焦土,地底仍有岩浆活动
探索,T4-Lv80,exploration_18,裂谷深渊,Rift Abyss,极危区,80,32x32,大地震撕裂的千米深渊,谷底有未知生物
探索,T4-Lv84,exploration_19,变异丛林,Mutant Jungle,极危区,84,32x32,变异植物疯狂生长遮天蔽日的原始丛林
探索,T5-Lv87,exploration_20,巨兽骸骨场,Giant Bone Field,死亡区,87,32x32,被巨型变异兽骸骨覆盖的平原,仍在散发辐射
探索,T5-Lv90,exploration_21,军事禁区,Military Zone,死亡区,90,32x32,铁丝网环绕的军事禁区,自动炮台仍在运作
探索,T5-Lv92,exploration_22,高架桥废墟,Viaduct Ruins,死亡区,92,32x32,被核爆冲击波扭曲成麻花的高架桥
探索,T5-Lv94,exploration_23,实验室废墟,Lab Ruins,死亡区,94,32x32,战前生化武器实验室的废墟,泄漏的实验体在游荡
探索,T5-Lv96,exploration_24,陨石坑,Meteor Crater,死亡区,96,32x32,撞击形成的巨型陨石坑,坑底有稀有矿物
探索,T6-Lv97,exploration_25,深渊裂谷,Abyssal Rift,深渊区,97,32x32,直达地壳深处的裂谷,深处有不可名状之物
探索,T6-Lv98,exploration_26,辐射风暴区,Rad Storm Zone,深渊区,98,32x32,永不消散的巨型辐射风暴的中心
探索,T6-Lv99,exploration_27,避难所遗迹,Vault Ruins,深渊区,99,32x32,传说是战前政府秘密避难所的遗迹
探索,T6-Lv99,exploration_28,搁浅航母,Beached Carrier,深渊区,99,32x32,被海啸冲到内陆的巨型航母残骸
探索,T6-Lv99,exploration_29,终末之门,Endgate,深渊区,99,32x32,废土尽头的神秘巨型金属门,无人知晓门后是什么
